parking_id,n_obs
P Grote Markt,33453
P Tinel,32234
P Lamot,30267
P Bruul,30114
P Veemarkt,29362
P Keerdok,25570
P Hoogstraat,21714
P Kathedraal,21133
P Maarten,14704
P Komet,11886
