hour,n_obs
0,1925
1,1909
2,1918
3,1922
4,1922
5,1944
6,1958
7,1956
8,1907
9,1942
10,1955
11,1960
12,1958
13,1960
14,1957
15,1954
16,1954
17,1878
18,1937
19,1966
20,1968
21,1970
22,1966
23,1957
