parking_id,n_unique_hours
P Bruul,24
P Grote Markt,24
P Hoogstraat,24
P Kathedraal,24
P Keerdok,24
P Komet,24
P Lamot,24
P Maarten,24
P Tinel,24
P Veemarkt,24
