,missing_pct
national_holiday_name,97.16
other_holiday_name,96.68
football_kickoff_hour,96.18
vacation_type,75.83
vacation_name,75.83
humidity_suspect,14.22
qc_precip,14.22
humidity_pct,14.22
sun_duration_min,14.22
shortwave_wm2,14.22
sun_intensity_wm2,14.22
qc_temp,14.22
qc_wind_gusts,14.22
qc_wind_speed,14.22
wind_speed_ms,14.22
qc_humidity,14.22
qc_pressure,14.22
sun_duration_inconsistent,14.22
precip_imputed,14.22
wind_gusts_ms,14.22
