,weather_var,rho_shortterm,rho_longterm,rho_diff_st_minus_lt,z_stat,p_value,q_value
0,temp_c,0.160602,0.074701,0.085901,13.392718,0.0,0.0
1,precip_mm,-0.018116,-1.9e-05,-0.018097,-2.780898,0.005421,0.005421
2,wind_speed_ms,0.130025,0.087401,0.042624,6.62855,0.0,0.0
3,sun_duration_min,0.15798,0.09548,0.0625,9.763159,0.0,0.0
4,humidity_pct,-0.24319,-0.11422,-0.128971,-20.503148,0.0,0.0
