,dataset,n_rows,n_parkings,date_min,date_max,mean_occupancy,std_occupancy
0,shortterm,47809,7,2024-01-01,2024-12-31 23:00:00,0.30353,0.27559
1,longterm,46643,7,2024-01-01,2024-12-31 22:00:00,0.43721,0.25384
