,dataset,n_rows,n_parkings,years,mean_occupancy,median_occupancy,std_occupancy,pct_ge_90,acf_24h,acf_168h
0,shortterm,250437,10,"2019, 2020, 2023, 2024, 2025",0.38214,0.3234,0.27924,6.52979,0.83624,0.86347
1,longterm,46643,7,2024,0.43721,0.38,0.25384,4.55588,0.73362,0.76881
