run_id,track,context,fold_id,tier_group,feature_name,mean_abs_shap,mean_signed_shap,rank,n_obs
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_other_day,0.002868443405504787,0.00014884531704408924,45,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_sun_duration_ratio,0.002834946809465573,0.0003731129486670133,46,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,t_day_class_5__weekend_regular,0.002690006661261827,-0.0008670524136085762,47,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_wind_x_season__lente,0.002569295670638019,9.418899994558288e-05,48,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_temp_x_season__herfst,0.0024551014550406266,0.0004189856528698947,49,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_football_kickoff_hour_cos,0.0021215846403230283,-0.0003846558693189235,50,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,t_day_class_5__holiday,0.0019368582858647323,0.0012616817033211933,51,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,t_day_class_5__school_vacation,0.0018813880060788415,-0.00015901555731523967,52,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_markt_day,0.0017956847189876672,-0.00020498684006718107,53,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_holiday_x_tier_centrum,0.0015297648957995538,0.00082649380421355,54,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_event_scale_is_large,0.0014968720003437394,-0.00023684683549745247,55,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,s_tier_is_rand,0.001415772942867771,-0.001415772942867771,56,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,s_parking_id__p_keerdok,0.0014157729428631311,-0.0014157729428631311,57,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,s_capacity_bucket__small,0.0013164322565955833,-0.00011590086472856397,58,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_football_kickoff_hour_sin,0.001206160141184552,-0.0006121493672880642,59,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_high_wind_speed,0.00108047064320355,-0.00016668514307295238,60,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_sport_day,0.0010798885618834122,1.4227780788972633e-05,61,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_has_football_kickoff,0.0010668799798759848,0.000260021612134759,62,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_football_day,0.00106687879773989,0.00026002132402264973,63,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_int_event_x_tier_centrum,0.0010490282237587743,-0.0004741237676485231,64,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,t_is_2020_regime,0.0009255974050499006,0.0009255974050499006,65,15000
P4_ridge_a1_0,policy,holdout,holdout,centrum,e_is_event_day,0.0008732106810546899,-6.695963912022993e-05,66,15000
