run_id,track,variant,context,fold_id,n_train,n_valid,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event
P4_ridge_a1_0,policy,P4,holdout,holdout,129837,87600,0.21690952413656858,0.2657007920159511,883126.1772774532,0.2546776650081916,0.17914138326494558,0.22207958779967304,0.2146793005956216
P4_ridge_a1_0,policy,P4,fold_cv_fold_1,cv_fold_1,61192,11529,0.20981969235623002,0.2685319343132365,102148.53285947691,0.22111507208576636,0.18904008861241067,0.21369729745552474,0.20751490094193487
P4_ridge_a1_0,policy,P4,fold_cv_fold_2,cv_fold_2,82114,10725,0.23728737126501998,0.2856308191607098,499.4826882890098,0.20623241594030345,0.2629821852123403,0.2471424282136656,0.23093146413786425
P4_ridge_a1_0,policy,P4,fold_cv_fold_3,cv_fold_3,107789,22048,0.21870780241664933,0.27269000879588146,788678.9970039726,0.27865597275479836,0.1588465764879827,0.2186989399220846,0.21871091664780715
F3_rf_90_d12_l2,forecast,F3,holdout,holdout,118102,78017,0.06543774886850505,0.09972671085256819,236010.41730125033,0.0733089575373802,0.057019716795725726,0.06615785580084965,0.06515114357383592
F3_rf_90_d12_l2,forecast,F3,fold_cv_fold_1,cv_fold_1,46662,8531,0.06255413543778178,0.0854748656733916,2668.5510070590085,0.06255413543778178,,0.06834780714492776,0.06084540682105675
F3_rf_90_d12_l2,forecast,F3,fold_cv_fold_2,cv_fold_2,65209,8065,0.06364712151582354,0.08618006526903782,2878.0178938867994,0.06364712151582354,,0.07115184337455954,0.0612426125640314
F3_rf_90_d12_l2,forecast,F3,fold_cv_fold_3,cv_fold_3,90136,18383,0.07019219291578536,0.102322821635335,71337.54055506586,0.07259281825075564,0.0661905702407805,0.07166206794257081,0.06961984039987586
