run_id,track,context,fold_id,feature_name,mean_abs_shap,mean_signed_shap,rank,n_obs
P4_ridge_a1_0,policy,holdout,holdout,t_day_class_5__weekend_regular,0.0027026707189268303,-0.0008811235887913351,47,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_wind_x_season__lente,0.002570020768973123,9.818445395796828e-05,48,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_temp_x_season__herfst,0.002452538528325697,0.00042394609703481483,49,30000
P4_ridge_a1_0,policy,holdout,holdout,s_tier_is_rand,0.0023136246816139357,-0.00023438907609724737,50,30000
P4_ridge_a1_0,policy,holdout,holdout,s_parking_id__p_keerdok,0.002313624681605596,-0.0002343890760964214,51,30000
P4_ridge_a1_0,policy,holdout,holdout,e_football_kickoff_hour_cos,0.002182258381779995,-0.0004475807794909652,52,30000
P4_ridge_a1_0,policy,holdout,holdout,t_day_class_5__holiday,0.0019264582553752696,0.001251069427312501,53,30000
P4_ridge_a1_0,policy,holdout,holdout,t_day_class_5__school_vacation,0.0018831129878093167,-0.00015604145088172287,54,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_markt_day,0.0018181649424492418,-0.00018107170872606093,55,30000
P4_ridge_a1_0,policy,holdout,holdout,e_event_scale_is_large,0.001500588448836887,-0.00024284110726006643,56,30000
P4_ridge_a1_0,policy,holdout,holdout,s_capacity_bucket__small,0.0013170693514113446,-0.00011059174126639668,57,30000
P4_ridge_a1_0,policy,holdout,holdout,e_football_kickoff_hour_sin,0.0012357975225066322,-0.0006425566238610677,58,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_high_wind_speed,0.0010996018365049907,-0.00014443956946736135,59,30000
P4_ridge_a1_0,policy,holdout,holdout,e_has_football_kickoff,0.0010832632256556898,0.0002774505970061369,60,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_football_day,0.0010832620253649991,0.00027745028958196826,61,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_sport_day,0.0010728121130165694,6.365059826641978e-06,62,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_holiday_x_tier_centrum,0.0009527219488577555,0.0002254074011493138,63,30000
P4_ridge_a1_0,policy,holdout,holdout,t_is_2020_regime,0.0009255974050501414,0.0009255974050501414,64,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_event_day,0.0008732106810547096,-6.69596391202207e-05,65,30000
P4_ridge_a1_0,policy,holdout,holdout,t_day_class_5__event_day,0.0008732067616574985,-6.695933857254666e-05,66,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_event_x_tier_centrum,0.0007302289697437664,-3.134702596020651e-05,67,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_festival_day,0.0005405465869699886,-7.412871461465383e-06,68,30000
P4_ridge_a1_0,policy,holdout,holdout,t_day_class_5__weekday_regular,0.0005247718345205769,9.027185801226585e-05,69,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_wind_x_season__herfst,0.00035826044904054536,-9.265678743291149e-06,70,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_procession_day,0.0002868364890861052,0.00028683648908610517,71,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_high_wind_gust,0.00021330269749916009,-3.881247980873409e-05,72,30000
P4_ridge_a1_0,policy,holdout,holdout,e_precip_bin__moderate,0.0001703399664889012,-5.3302173979826326e-05,73,30000
P4_ridge_a1_0,policy,holdout,holdout,e_precip_mm,0.0001516539696183573,-7.229276618704646e-05,74,30000
P4_ridge_a1_0,policy,holdout,holdout,e_precip_bin__dry,0.00013098186503440805,-3.201888389333625e-05,75,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_precip_x_season__herfst,0.00012570237463362314,-0.00011115267570537075,76,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_precip_x_season__lente,6.567365002754063e-05,-1.9878242352914685e-05,77,30000
P4_ridge_a1_0,policy,holdout,holdout,e_precip_bin__heavy,5.593206716950172e-05,5.593206716950172e-05,78,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_precip_x_season__winter,2.7429382668688398e-05,-9.605589131354068e-06,79,30000
P4_ridge_a1_0,policy,holdout,holdout,e_is_carnival_day,1.7025177041591308e-05,3.1260851900067863e-06,80,30000
P4_ridge_a1_0,policy,holdout,holdout,e_precip_bin__light,1.5158573996817687e-05,-1.7535380456515562e-06,81,30000
P4_ridge_a1_0,policy,holdout,holdout,e_int_precip_x_season__zomer,5.759136668189416e-07,5.759136668189416e-07,82,30000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_hoogstraat,0.05974010178065389,-0.037176289013854384,1,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_season__herfst,0.05572696358173212,-0.044046327226949684,2,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_season__winter,0.04513724251071118,0.0130113368130764,3,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_month_cos,0.03799365350575232,-0.03799365350575232,4,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_month_sin,0.035386219461105914,0.035386219461105914,5,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_temp_x_season__lente,0.03423529725292587,0.03423529725292587,6,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_season__zomer,0.032031088378250756,0.032031088378250756,7,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_season__lente,0.028456251157909458,-0.028456251157909458,8,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_tinel,0.026050550191504693,0.0026726094887826826,9,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_is_2020_regime,0.0253524398499891,0.0253524398499891,10,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_capacity_bucket__large,0.0247614763659753,0.002893381658343634,11,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_bruul,0.02180067338786448,0.01715670353720967,12,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_temp_x_season__herfst,0.019913619902240443,0.014051973707377886,13,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_capacity_bucket__medium,0.019011680742714445,-0.004373075550591458,14,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_event_scale_is_large,0.01833410410995494,0.008675144498960913,15,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_temp_x_season__zomer,0.01770390091227671,-0.01770390091227671,16,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_veemarkt,0.014472735986105533,0.000994069373136934,17,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_sun_duration_ratio,0.014032493625680997,0.008844666024888674,18,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_sun_intensity_log1p,0.013734680569595602,-0.0075550838219110815,19,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_log_total_capacity,0.013473602959520917,0.002745337818896043,20,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_is_school_vacation,0.010995926098300503,0.0028026796374831845,21,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_temp_x_season__winter,0.010495016992034251,-0.004363343953419914,22,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_grote_markt,0.010185895809355831,-0.002330316964905454,23,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_hour_sin,0.009364163369375386,2.541549947487502e-06,24,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_hour_cos,0.008438313136054337,0.0008381676274124268,25,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_capacity_bucket__small,0.007744908977378752,0.002458317953034079,26,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_wind_x_season__zomer,0.006722305193535949,-0.006722305193535949,27,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_wind_speed_ms,0.006082502386807451,0.0014370666083772096,28,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_temp_c,0.005892988371290238,-0.0038789048292285798,29,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_lamot,0.005805291133524574,-0.003362567772990438,30,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_is_other_holiday,0.005725615108075852,-0.0037099017978894657,31,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_n_concurrent_events,0.005611726816044328,-0.002767726213358102,32,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_event_x_tier_centrum,0.005232094462603726,-0.0032313162171353055,33,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_day_class_5__weekend_regular,0.00469394714351508,-0.00024967803954865133,34,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_holiday_x_tier_centrum,0.004464506219740469,0.0034546904058439486,35,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_n_concurrent_events_capped,0.0036749089535757806,0.0016920133308978087,36,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_event_day,0.003674908710791573,0.0016920132191140568,37,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_day_class_5__event_day,0.003674908250957266,0.0016920130073959296,38,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_parking_id__p_keerdok,0.003427129423322074,0.001704027581166837,39,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_tier_is_rand,0.0034271294233193137,0.0017040275811649036,40,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_weekday_sin,0.0034108993543064932,0.00021370755388574496,41,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_kermis_day,0.0033184592672667735,-0.0021610231815750486,42,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_is_weekend,0.002986739776575697,6.965002670105146e-05,43,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,s_tier_is_vesten,0.0027484706197449826,0.0009794604221613592,44,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_weekday_cos,0.0019333927038834623,-5.208019093962545e-05,45,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_high_wind_gust,0.0019070094046491914,0.00023195232459777033,46,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_wind_gusts_ms,0.0018899154263914636,-0.0004067130644781661,47,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_sport_day,0.0018599261354772466,0.00029714885273973,48,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,t_day_class_5__school_vacation,0.001757535002143927,-0.0006733629535890731,49,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_is_high_wind_speed,0.0016823952314204244,-0.00012059515884687908,50,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_int_wind_x_season__lente,0.0015367066433235451,0.0015367066433235451,51,10000
P4_ridge_a1_0,policy,fold_cv_fold_1,cv_fold_1,e_event_scale_max,0.0015258167888581526,0.0007551547327411313,52,10000
