run_id,track,context,fold_id,n_rows,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event,share_stage_parking_hour_weekday,share_stage_parking_hour,share_stage_parking,share_stage_global,share_stage_lag1,share_stage_lag24,share_stage_fallback_profile
P0_profile_baseline,policy,holdout,holdout,87600,0.20640447416834964,0.25632226803865704,753126.2867534668,0.2500903843733939,0.16271856396330536,0.21455405790416238,0.2028889674587834,1.0,0.0,0.0,0.0,,,
P0_profile_baseline,policy,fold_cv_fold_1,cv_fold_1,11529,0.17306738151037943,0.2249637149665921,67956.55954321183,0.1749444702706677,0.16961418546343526,0.17399199425120454,0.17251780530237687,1.0,0.0,0.0,0.0,,,
P0_profile_baseline,policy,fold_cv_fold_2,cv_fold_2,10725,0.23031068913699318,0.27927088929571564,441.5443829387898,0.22527215880809168,0.23447956003103745,0.23359606105742423,0.22819182580487465,0.8541724941724942,0.0,0.0,0.14582750582750584,,,
P0_profile_baseline,policy,fold_cv_fold_3,cv_fold_3,22048,0.21826135369407137,0.2824747539324992,689095.4892846225,0.2995462754892375,0.13709432156068216,0.22023469736353962,0.21756793173531802,1.0,0.0,0.0,0.0,,,
F0_persistence_baseline,forecast,holdout,holdout,87600,0.06347384765091565,0.11143817398438824,43069.54312119265,0.06947676683857225,0.05684177510790313,0.06417687120521193,0.06320296651071752,,,,,0.9595547945205479,0.025856164383561645,0.01458904109589041
F0_persistence_baseline,forecast,fold_cv_fold_1,cv_fold_1,11529,0.09046059797787326,0.13431923839517032,1874.9106359717434,0.09046059797787326,,0.10165110946457075,0.08702351230695901,,,,,0.8901899557637263,0.07173215369936681,0.03807789053690693
F0_persistence_baseline,forecast,fold_cv_fold_2,cv_fold_2,10725,0.08867385914369115,0.1327966654112847,2014.167127733651,0.08867385914369115,,0.10131611946585468,0.08436123113833138,,,,,0.8957575757575758,0.06685314685314685,0.03738927738927739
F0_persistence_baseline,forecast,fold_cv_fold_3,cv_fold_3,22048,0.08615748411893145,0.13236363367962642,25613.904923748807,0.09119299904477428,0.07576884885236211,0.08956816733887903,0.08486912693186757,,,,,0.9375453555878084,0.041636429608127724,0.020818214804063862
