feature,vif,status
temp_c,3.245,✅ acceptabel
month_cos,2.637,✅ acceptabel
month_sin,1.854,✅ acceptabel
sun_duration_min,1.598,✅ acceptabel
hour_cos,1.447,✅ acceptabel
wind_speed_ms,1.333,✅ acceptabel
hour_sin,1.127,✅ acceptabel
is_school_vacation,1.08,✅ acceptabel
is_event_day,1.068,✅ acceptabel
is_national_holiday,1.034,✅ acceptabel
year_dummy,1.031,✅ acceptabel
precip_mm,1.026,✅ acceptabel
weekday_sin,1.018,✅ acceptabel
weekday_cos,1.006,✅ acceptabel
total_capacity,1.003,✅ acceptabel
