tier,n_droog,n_zwaar,med_droog,med_zwaar,delta_med,mw_p,r_rb
centrum,61651,13,0.3436,0.3833,-0.0397,0.895534,0.021
vesten_of_rand,48201,19,0.2428,0.1538,0.0889,0.156782,0.1876
