,dataset_label,parking_location_category,n_obs,mean,median,std,iqr,q95,q99,cv
0,longterm,centrum,25681,0.4802,0.4333,0.2381,0.3833,0.88,0.96,0.4959
1,longterm,rand,8750,0.2843,0.26,0.096,0.11,0.48,0.55,0.3376
2,longterm,vesten,12212,0.4565,0.359,0.315,0.6218,0.9219,0.9688,0.6902
3,shortterm,centrum,135929,0.4464,0.3926,0.2903,0.4875,0.9704,1.0,0.6502
4,shortterm,rand,25570,0.3882,0.363,0.1813,0.2837,0.7067,0.8462,0.4671
5,shortterm,vesten,88938,0.2821,0.2167,0.2549,0.3534,0.8353,1.0,0.9036
