dataset_label,n_raw,n_quality_filtered,pct_retained,n_parkings,date_min,date_max,years
shortterm,284524,250437,88.01963981948798,10,2019-01-01,2025-12-31 23:00:00,"2019, 2020, 2023, 2024, 2025"
longterm,46643,46643,100.0,7,2024-01-01,2024-12-31 22:00:00,2024
