dataset_label,"corr(occupancy_rate, occupied_spaces)","corr(occupied_spaces, spaces_override)","corr(occupancy_rate, spaces_override)"
longterm,0.7895,0.3545,-0.2089
shortterm,0.603,0.6595,-0.0559
