dataset_label,n_rows,n_parkings,date_min,date_max,year_min,year_max
longterm,46643,7,2024-01-01 00:00:00,2024-12-31 22:00:00,2024,2024
shortterm,284524,10,2018-12-31 23:00:00,2026-02-02 00:00:00,2018,2026
