dataset_label,mean,median,std,iqr,q95,q99,max,pct_ge_90,pct_ge_95,cv,mean_abs_hourly_change,median_abs_hourly_change,p90_abs_hourly_change,pct_small_changes_le_0_05,pct_large_changes_ge_0_20
longterm,0.4372,0.38,0.2538,0.4262,0.8906,0.96,1.0,4.5559,1.6015,0.5806,0.0419,0.0167,0.1,79.073,4.7467
shortterm,0.3894,0.3365,0.2764,0.4086,0.9294,1.0,1.0,6.4388,4.1297,0.7097,0.0573,0.0235,0.1625,65.4838,6.8026
