tier,mean_occ_2020,mean_occ_2023,delta_2023_minus_2020,mw_p_value,effect_size_r,effect_label,pearson_r_uurprofiel,structuur_gelijk,niveau_shift_sig,H_T4_confirmed,year_feature_advice
centrum,0.4628,0.4059,-0.0569,0.0,0.1397,klein,-0.9565,False,True,False,"year-dummy NOODZAKELIJK (categorisch, niet ordinaal)"
vesten_of_rand,0.2613,0.4475,0.1861,0.0,0.3966,medium,0.3014,False,True,False,"year-dummy NOODZAKELIJK (categorisch, niet ordinaal)"
