tier,mean_2020,mean_2023,delta_abs,mw_stat,mw_p,effect_size_r,effect_label,pearson_r_hourly_structure,structural_conclusion
centrum,0.4627973860551468,0.40585321880866854,-0.05694416724647827,293593481.5,1.1584503624552203e-194,0.13970650240871602,klein,-0.9565113550619658,Structureel AFWIJKEND
vesten_of_rand,0.2613431368776264,0.4474861010207733,0.1861429641431469,50542313.0,0.0,0.3966347721129859,medium,0.30144467009197995,Structureel AFWIJKEND
