,operational_split,n_rows,n_parkings,date_min,date_max,mean_occupancy,pct_of_phase3_scope
0,holdout,87600,10,2025-01-01,2025-12-31 23:00:00,0.40081,40.28753
1,train,129837,10,2020-01-01,2024-12-31 23:00:00,0.36163,59.71247
